address,areas,bathrooms,bedrooms,parking-spaces,zap_price_pmo,zap_price_cls,zap_price_iptu,latitude,longitude,street,neighborhood,r$_pmo,usd_pmo
"Avenida Cesário de Melo, Campo Grande",42 m²,1.0,1.0,1.0,R$ 500 /mês,condomínio R$ 450,,-22.8973512,-43.5483958,Avenida Cesário de Melo, Campo Grande,500,116.22
"Rua General Lobato Filho, Barra da Tijuca",160 m²,2.0,3.0,2.0,R$ 8.200 /mês,condomínio R$ 1.800,IPTU R$ 550,-23.010876899999996,-43.315508799999996,Rua General Lobato Filho, Barra da Tijuca,8200,1906.06
"Rua General Severiano, Botafogo",107 m²,2.0,2.0,,R$ 2.500 /mês,condomínio R$ 550,IPTU R$ 219,-22.9530993,-43.177193700000004,Rua General Severiano, Botafogo,2500,581.12
"Leblon, Rio de Janeiro",88 m²,2.0,3.0,1.0,R$ 5.000 /mês,condomínio R$ 1.380,IPTU R$ 380,-22.983556,-43.224937700000005,Leblon, Rio de Janeiro,5000,1162.23
"Rua Bulhões de Carvalho, Copacabana",62 m²,2.0,2.0,1.0,R$ 2.700 /mês,condomínio R$ 1.004,IPTU R$ 112,-22.985511,-43.19287620000001,Rua Bulhões de Carvalho, Copacabana,2700,627.6
"Rua General Severiano, Botafogo",123 m²,3.0,3.0,,R$ 3.000 /mês,condomínio R$ 570,IPTU R$ 267,-22.9530993,-43.177193700000004,Rua General Severiano, Botafogo,3000,697.34
"Rua Carolina Franco, Irajá",70 m²,1.0,1.0,,R$ 870 /mês,IPTU R$ 25,,-22.8519479,-43.320444,Rua Carolina Franco, Irajá,870,202.23
"Rua Silvia Pozzano, Recreio dos Bandeirantes",78 m²,,2.0,1.0,R$ 1.800 /mês,condomínio R$ 920,IPTU R$ 174,-23.0066417,-43.4845412,Rua Silvia Pozzano, Recreio dos Bandeirantes,1800,418.4
"Avenida Atlântica, Copacabana",156 m²,1.0,3.0,1.0,R$ 4.000 /mês,condomínio R$ 1.330,IPTU R$ 508,-22.9766415,-43.188297,Avenida Atlântica, Copacabana,4000,929.78
"Rua Bulhões de Carvalho, Copacabana",98 m²,,3.0,1.0,R$ 2.500 /mês,condomínio R$ 1.200,,-22.985511,-43.19287620000001,Rua Bulhões de Carvalho, Copacabana,2500,581.12
"Rua Tonelero, Copacabana",110 m²,3.0,3.0,1.0,R$ 3.200 /mês,condomínio R$ 1.417,IPTU R$ 290,-22.9690461,-43.18946629999999,Rua Tonelero, Copacabana,3200,743.83
"Estrada do Rio Morto, Vargem Grande",100 m²,3.0,3.0,1.0,R$ 1.250 /mês,condomínio R$ 460,IPTU R$ 104,-22.9912255,-43.492756799999995,Estrada do Rio Morto, Vargem Grande,1250,290.56
"Rua Bento Gonçalves, Engenho de Dentro",79 m²,1.0,2.0,1.0,R$ 1.200 /mês,condomínio R$ 50,IPTU R$ 35,-22.893945600000002,-43.299163799999995,Rua Bento Gonçalves, Engenho de Dentro,1200,278.94
"Rua Figueiredo Magalhães, Copacabana",35 m²,1.0,1.0,,R$ 1.400 /mês,condomínio R$ 400,IPTU R$ 73,-22.9674748,-43.187453600000005,Rua Figueiredo Magalhães, Copacabana,1400,325.42
"Rua Anita Garibaldi, Copacabana",73 m²,1.0,2.0,,R$ 2.300 /mês,condomínio R$ 690,IPTU R$ 208,-22.9685405,-43.18852639999999,Rua Anita Garibaldi, Copacabana,2300,534.63
"Avenida Lúcio Costa, Barra da Tijuca",105 m²,2.0,2.0,3.0,R$ 5.284 /mês,condomínio R$ 3.450,IPTU R$ 542,-23.014923800000002,-43.407209,Avenida Lúcio Costa, Barra da Tijuca,5284,1228.24
"Rua Paissandu, Flamengo",46 m²,1.0,1.0,,R$ 1.450 /mês,condomínio R$ 491,IPTU R$ 104,-22.933985999999997,-43.1760735,Rua Paissandu, Flamengo,1450,337.05
"Rua São Francisco Xavier, Maracanã",90 m²,1.0,3.0,1.0,R$ 750 /mês,condomínio R$ 506,IPTU R$ 88,-22.915698100000004,-43.2319433,Rua São Francisco Xavier, Maracanã,750,174.33
"Avenida Ayrton Senna, Barra da Tijuca",68 m²,2.0,1.0,1.0,R$ 1.550 /mês,condomínio R$ 1.015,IPTU R$ 215,-22.988001899999997,-43.3660133,Avenida Ayrton Senna, Barra da Tijuca,1550,360.29
"Avenida Alexandre Ferreira, Lagoa",92 m²,1.0,2.0,1.0,R$ 2.500 /mês,condomínio R$ 1.759,IPTU R$ 335,-22.9604618,-43.203900899999994,Avenida Alexandre Ferreira, Lagoa,2500,581.12
"Rua Omar Bandeira Ramidan Sobrinho, Recreio dos Bandeirantes",124 m²,1.0,3.0,1.0,R$ 2.810 /mês,condomínio R$ 880,IPTU R$ 210,-23.0111148,-43.468742600000006,Rua Omar Bandeira Ramidan Sobrinho, Recreio dos Bandeirantes,2810,653.17
